id,code,variant,name,alias,category,rate_basis,k1_low,k1_high,k2_low,k2_high,k3_low,k3_high,source
2020,2020,,Iron Mines (underground or above ground),Tambang besi,Industrial,construction,0.7,0.875,1.05,1.313,1.4,1.75,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2021,2021,,Blast Furnaces and Iron Foundries,Peleburan / pengecoran besi,Industrial,construction,0.805,1.006,1.208,1.509,1.61,2.012,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
203,203,,Steelworks and Rolling Mills,Pabrik baja / rolling mill,Industrial,construction,1.085,1.356,1.628,2.035,2.17,2.713,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2051,2051,,Extraction and Processing above Ground,Pertambangan lain - permukaan,Industrial,construction,0.996,1.245,1.494,1.868,1.992,2.49,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2052,2052,,Extraction and Processing below Ground,Pertambangan lain - bawah tanah,Industrial,construction,1.145,1.432,1.718,2.148,2.291,2.863,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2058,2058,,Other and/or Mixed Mines,Pertambangan lain / campuran,Industrial,construction,1.295,1.619,1.942,2.428,2.59,3.237,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2071,2071,,Coal and Lignite Extraction above Ground,Tambang batubara permukaan,Industrial,construction,0.981,1.226,1.471,1.839,1.962,2.452,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2072,2072,,Coal and Lignite Extraction below Ground,Tambang batubara bawah tanah,Industrial,construction,1.422,1.778,2.133,2.667,2.844,3.555,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2073,2073,,Coal Coking Plants,Pabrik kokas,Industrial,construction,1.275,1.594,1.913,2.391,2.55,3.188,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2074,2074,,Manufacturing of Coal Briquettes,Pabrik briket batubara,Industrial,construction,1.128,1.41,1.692,2.115,2.256,2.82,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2081,2081,,Salt mines - rock / evaporated deposit,Tambang garam,Industrial,construction,0.98,1.225,1.47,1.837,1.96,2.449,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2082,2082,,Salt extraction from sea water,Tambak garam,Industrial,construction,0.852,1.065,1.278,1.598,1.704,2.13,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
209,209,,Peat extraction / processing,Ekstraksi / pengolahan gambut,Industrial,construction,0.5,0.625,0.75,0.938,1.0,1.25,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
210,210,,"Stone, gravel and sand extraction installations",Tambang batu / kerikil / pasir,Industrial,construction,0.55,0.688,0.743,0.928,0.935,1.169,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
21121,21121,,Cement Factories with rotary kiln,Pabrik semen dengan rotary kiln,Industrial,construction,0.87,1.088,1.305,1.631,1.74,2.175,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
21122,21122,,Cement Factories without rotary kiln,Pabrik semen tanpa rotary kiln,Industrial,construction,0.78,0.975,1.17,1.463,1.56,1.95,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2113,2113,,Concrete products / ready mixed concrete,Beton / ready mix / mortar,Industrial,construction,0.69,0.863,1.035,1.294,1.38,1.725,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2114,2114,,"Artificial Teeth, non plastic",Gigi buatan non-plastik,Industrial,construction,0.6,0.75,0.9,1.125,1.2,1.5,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2121,2121,,Asbestos products / cut stone products,Produk batu / asbestos,Industrial,construction,1.188,1.485,1.782,2.228,2.376,2.97,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2122,2122,,Animal bones and/or shell crushing for feed,Penghancuran tulang / cangkang untuk pakan,Industrial,construction,1.366,1.708,2.049,2.562,2.732,3.415,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2123,2123,,Mineral Wool,Mineral wool,Industrial,construction,1.544,1.931,2.317,2.896,3.089,3.861,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2131,2131,,Brick / structural clay factories - tunnel kilns only,Pabrik bata/genteng - tunnel kiln,Industrial,construction,0.6,0.75,0.9,1.125,1.2,1.5,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2132,2132,,Brick / structural clay factories - other kilns,Pabrik bata/genteng - kiln lainnya,Industrial,construction,0.531,0.664,0.796,0.995,1.062,1.327,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2133,2133,,Ceramic color / frit / inorganic pigments,Pabrik warna keramik / pigmen,Industrial,construction,0.462,0.577,0.692,0.866,0.923,1.154,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2241,2241,,Vehicle construction plants including bicycle and becak,Pabrik kendaraan / sepeda / becak,Industrial,construction,0.429,0.536,0.644,0.805,0.858,1.073,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
