id,code,variant,name,alias,category,rate_basis,k1_low,k1_high,k2_low,k2_high,k3_low,k3_high,source
256,256,,Leather production and tanneries,Pabrik/penyamakan kulit,Tekstil/Kertas/Kulit,construction,1.323,1.654,1.985,2.481,2.646,3.308,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2571,2571,,Shoe factories - leather,Pabrik sepatu kulit,Tekstil/Kertas/Kulit,construction,5.415,6.768,8.122,10.152,10.829,13.537,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2572,2572,,Shoe factories - rubber/canvas,Pabrik sepatu karet/kanvas,Tekstil/Kertas/Kulit,construction,5.844,7.306,8.767,10.958,11.689,14.611,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2578,2578,,Shoe factories - other/mixed materials,Pabrik sepatu material campuran,Tekstil/Kertas/Kulit,construction,7.269,9.087,10.904,13.63,14.539,18.173,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2581,2581,,Leather goods factories,Pabrik barang kulit,Tekstil/Kertas/Kulit,construction,0.931,1.163,1.396,1.745,1.861,2.327,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2582,2582,,Imitation leather goods factories,Pabrik kulit imitasi,Tekstil/Kertas/Kulit,construction,2.985,3.731,4.477,5.596,5.969,7.462,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2588,2588,,Leather goods mixed,Pabrik barang kulit campuran,Tekstil/Kertas/Kulit,construction,2.854,3.567,4.281,5.351,5.708,7.135,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2623,2623,,Manufacture of plywood/veneer/related products,Pabrik plywood/triplex/veneer,Kayu/Furnitur,construction,4.466,5.582,6.699,8.373,8.932,11.164,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2624,2624,,Sirap factories,Pabrik sirap,Kayu/Furnitur,construction,8.892,11.115,13.338,16.673,17.785,22.231,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2628,2628,,Wood board/plywood mixed,Industri papan kayu campuran,Kayu/Furnitur,construction,4.37,5.463,6.555,8.194,8.74,10.925,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
263,263,,Turner/coachbuilder/pipes/walking-stick/picture frame/pencil factories,Workshop bubut/frame/pensil,Kayu/Furnitur,construction,1.883,2.354,2.824,3.53,3.766,4.707,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
264,264,,Wicker-work factories,Pabrik anyaman bambu,Kayu/Furnitur,construction,6.841,8.552,10.262,12.828,13.683,17.103,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
265,265,,Cork goods factories,Pabrik barang gabus,Kayu/Furnitur,construction,5.415,6.769,8.123,10.154,10.831,13.538,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
266,266,,"Broom, brush and paintbrush factories",Pabrik sapu/sikat/kuas,Kayu/Furnitur,construction,1.428,1.785,2.142,2.678,2.856,3.57,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
267,267,,Timber impregnation / plywood coating installation,Impregnasi kayu/coating plywood,Kayu/Furnitur,construction,3.836,4.794,5.753,7.192,7.671,9.589,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
268,268,,Wooden musical instruments factories,Pabrik alat musik kayu,Kayu/Furnitur,construction,2.4,3.0,3.6,4.5,4.8,6.0,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
269,269,,Charcoal producers and other category 26,Produsen arang/industri kayu lain,Kayu/Furnitur,construction,3.418,4.272,5.126,6.408,6.835,8.544,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2701,2701,,Corn mills,Penggilingan jagung,Makanan/Minuman,construction,0.853,1.067,1.28,1.6,1.707,2.134,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2702,2702,,Fodder mills,Pabrik pakan/fodder,Makanan/Minuman,construction,1.141,1.427,1.712,2.14,2.283,2.854,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2703,2703,,Gaplek mills,Penggilingan gaplek,Makanan/Minuman,construction,0.508,0.635,0.762,0.953,1.016,1.27,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2704,2704,,Gambir factories,Pabrik gambir,Makanan/Minuman,construction,2.742,3.427,4.113,5.141,5.483,6.854,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2705,2705,,Flour mills,Pabrik tepung,Makanan/Minuman,construction,0.612,0.765,0.918,1.147,1.224,1.529,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2708,2708,,Mills mixed including feed mill,Penggilingan campuran/pakan,Makanan/Minuman,construction,1.825,2.281,2.737,3.422,3.65,4.562,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2709,2709,,Paddy & hulling mills,Penggilingan padi,Makanan/Minuman,construction,1.008,1.259,1.511,1.889,2.015,2.519,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
27111,27111,,Sugar refinery plant,Pabrik refinery gula,Makanan/Minuman,construction,0.788,0.986,1.183,1.478,1.577,1.971,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
27112,27112,,Cane sugar plant,Pabrik gula tebu,Makanan/Minuman,construction,0.891,1.114,1.337,1.671,1.783,2.228,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
27113,27113,,Chocolate and sweets factories,Pabrik cokelat/permen,Makanan/Minuman,construction,0.686,0.857,1.028,1.286,1.371,1.714,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2721,2721,,Alimentary paste producers / pasta/macaronis,Pabrik pasta/makaroni,Makanan/Minuman,construction,1.115,1.394,1.673,2.091,2.23,2.788,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
2723,2723,,Processed food factories / noodles/crackers,Pabrik mie/bihun/kerupuk,Makanan/Minuman,construction,1.345,1.682,2.018,2.522,2.691,3.363,SEOJK 6/SEOJK.05/2017 Lampiran I Tabel I.A
